CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,requestLatency,skillInstance,type
02ab6f8d-23e3-4ffc-a1c8-2f75baac3101,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,38,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 630, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",66fc512f55f202ce26fa6fbb,2024-10-01 22:44:47.678,FLOW_STARTED,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,630,EXPLICIT_USER_REQUEST,live chat
35d2620a-aa32-4f2d-b018-576b5a0f7de1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,26,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049', 'requestLatency': 366, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703db52ce37c37834ceb2ab,2024-10-07 16:00:02.733,FLOW_STARTED,7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049,366,EXPLICIT_USER_REQUEST,live chat
2e0160c9-3df3-4f15-ba4c-d2c9efc0a881,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 292, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703f70a00ab2c30dea89ec1,2024-10-07 17:58:18.888,FLOW_STARTED,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,292,EXPLICIT_USER_REQUEST,live chat
2e0160c9-3df3-4f15-ba4c-d2c9efc0a881,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,148,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 288, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703f8f800ab2c30dea8b9c7,2024-10-07 18:06:32.178,FLOW_STARTED,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,288,EXPLICIT_USER_REQUEST,live chat
f8e1fda0-5070-42c8-b5bb-2288d7b345e7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,38,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 278, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",670424c255f202ce26476bcc,2024-10-07 21:13:22.344,FLOW_STARTED,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,278,EXPLICIT_USER_REQUEST,live chat
dde21e51-da50-40f1-8e97-308e52e1df9f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,77,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 284, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",67041633ce37c37834d22dcb,2024-10-07 20:11:15.083,FLOW_STARTED,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,284,EXPLICIT_USER_REQUEST,live chat
3223cf35-c71d-4fe3-b9c1-68872df9ab96,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,49,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 286, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703fe78ce37c37834d0dce9,2024-10-07 18:30:00.097,FLOW_STARTED,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,286,EXPLICIT_USER_REQUEST,live chat
80d00fe3-b19d-4102-98d9-0256c16ed540,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,45,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049', 'requestLatency': 401, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703d031ce37c37834ce1fc9,2024-10-07 15:12:33.813,FLOW_STARTED,7d76806dacd9022f43205c499f77a1529744b90b urmc-f6abf1135b374ee1def31fd3efc6e049,401,EXPLICIT_USER_REQUEST,live chat
fd75fe86-b7b4-47aa-a62c-5c0d61a5bf6e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,76,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 167, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",67042bd0ce37c37834d35fd7,2024-10-07 21:43:28.445,FLOW_STARTED,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,167,EXPLICIT_USER_REQUEST,live chat
300648c3-de1b-4612-a42a-9b78bba021aa,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 145, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",67043095dd018676c742e85b,2024-10-07 22:03:49.089,FLOW_STARTED,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,145,EXPLICIT_USER_REQUEST,live chat
5d2a65b9-54d5-4e04-b044-850cafd46e85,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 343, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703e9f355f202ce264425ec,2024-10-07 17:02:27.333,FLOW_STARTED,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,343,EXPLICIT_USER_REQUEST,live chat
d83e8d32-9190-42b7-ae09-3b46ab5f9294,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,"{'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 471, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6703f073dd018676c73f616b,2024-10-07 17:30:11.203,FLOW_STARTED,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,471,EXPLICIT_USER_REQUEST,live chat
adea2aec-a361-46f1-91fe-73c86591bd14,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,"{'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 167, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",6704149255f202ce2646925e,2024-10-07 20:04:18.203,FLOW_STARTED,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,167,EXPLICIT_USER_REQUEST,live chat
c4589dd7-7c8f-4036-b502-d4f8150f7f3a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,"{'nluEngineVersion': 'e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1', 'requestLatency': 686, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",67080f9186501aa6ad2011ce,2024-10-10 20:32:01.076,FLOW_STARTED,e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1,686,EXPLICIT_USER_REQUEST,live chat
e69c48f8-0692-4116-86c5-00f0b4077e1f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 146, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",670d5156881e9aad8ce42432,2024-10-14 20:13:58.102,FLOW_STARTED,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,146,EXPLICIT_USER_REQUEST,live chat
531d8138-9ea7-4373-9ea6-1a48bf5e60ef,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,50,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224', 'requestLatency': 164, 'skillInstance': 'EXPLICIT_USER_REQUEST', 'type': 'live chat'}",66fd952e55f202ce2606e7f3,2024-10-02 21:47:10.615,FLOW_STARTED,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224,164,EXPLICIT_USER_REQUEST,live chat
