ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,sampleRate,sampleSize,streamType,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,49,{'streamType': 'end'},6707fc6086501aa6ad1f03a6,,,end,2024-10-10 19:10:08.651,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,56,{'streamType': 'end'},6707fc6786501aa6ad1f040d,,,end,2024-10-10 19:10:15.557,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,63,{'streamType': 'end'},6707fc6786501aa6ad1f0413,,,end,2024-10-10 19:10:15.878,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,70,{'streamType': 'end'},6707fc6886501aa6ad1f041b,,,end,2024-10-10 19:10:16.264,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,77,{'streamType': 'end'},6707fc6886501aa6ad1f042c,,,end,2024-10-10 19:10:16.917,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,84,{'streamType': 'end'},6707fc6986501aa6ad1f0433,,,end,2024-10-10 19:10:17.556,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,507f9fe7-f6e7-43b7-bddf-bd7038144a4c,91,{'streamType': 'end'},6707fc7186501aa6ad1f048a,,,end,2024-10-10 19:10:25.477,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73c81af3-0d19-4fc8-8bb5-6417d05062d9,39,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670828a014519701d6fdf813,48000.0,16.0,start,2024-10-10 22:18:56.773,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73c81af3-0d19-4fc8-8bb5-6417d05062d9,47,{'streamType': 'end'},670828a514519701d6fdf850,,,end,2024-10-10 22:19:01.239,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71989c95-9f91-4e9d-a2f9-65f88bfc78e0,44,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",6708340c8529bdd2887e5a70,48000.0,16.0,start,2024-10-10 23:07:40.269,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,e2ee12bf-20e6-46b3-8447-fad54510fdd3,107,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fdf41155f202ce260b9b55,48000.0,16.0,start,2024-10-03 04:32:01.379,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,e2ee12bf-20e6-46b3-8447-fad54510fdd3,116,{'streamType': 'end'},66fdf41655f202ce260b9b97,,,end,2024-10-03 04:32:06.416,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7bdf5b3d-79c8-4356-8ad6-9d98e9922e6a,20,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66ffbaed55f202ce261d11be,48000.0,16.0,start,2024-10-04 12:52:45.324,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9f2e3ea9-e583-4526-92b2-ceac99d50e42,15,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670d28c48790e7f88c257b15,48000.0,16.0,start,2024-10-14 17:20:52.366,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,64068ad9-3377-468c-b9aa-ff578b57c968,17,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fb9510ce37c37834748a3a,48000.0,16.0,start,2024-10-01 09:22:08.536,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,64068ad9-3377-468c-b9aa-ff578b57c968,26,{'streamType': 'end'},66fb9517ce37c37834748a65,,,end,2024-10-01 09:22:15.433,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,64068ad9-3377-468c-b9aa-ff578b57c968,35,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fb951bce37c37834748a86,48000.0,16.0,start,2024-10-01 09:22:19.814,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,64068ad9-3377-468c-b9aa-ff578b57c968,44,{'streamType': 'end'},66fb951ece37c37834748a9d,,,end,2024-10-01 09:22:22.559,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9bf14426-7734-463f-9422-2cb601b127f8,13,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670d97068529bdd288b39a0f,48000.0,16.0,start,2024-10-15 01:11:18.544,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9bf14426-7734-463f-9422-2cb601b127f8,48,{'streamType': 'end'},670d975e8529bdd288b39ef8,,,end,2024-10-15 01:12:46.633,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9bf14426-7734-463f-9422-2cb601b127f8,50,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670d975e8529bdd288b39efa,48000.0,16.0,start,2024-10-15 01:12:46.634,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9bf14426-7734-463f-9422-2cb601b127f8,85,{'streamType': 'end'},670d98578529bdd288b3ac25,,,end,2024-10-15 01:16:55.399,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2f4b7ee5-53da-4212-a57a-d01e3a0c957f,15,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670d5ab3881e9aad8ce4ba0c,48000.0,16.0,start,2024-10-14 20:53:55.402,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2f4b7ee5-53da-4212-a57a-d01e3a0c957f,23,{'streamType': 'end'},670d5abd881e9aad8ce4babd,,,end,2024-10-14 20:54:05.778,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5ca17e6b-9d54-4ec0-a52d-ddea742226ae,14,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670d512b8529bdd288af9606,48000.0,16.0,start,2024-10-14 20:13:15.598,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5ca17e6b-9d54-4ec0-a52d-ddea742226ae,23,{'streamType': 'end'},670d51318529bdd288af966e,,,end,2024-10-14 20:13:21.976,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5ca17e6b-9d54-4ec0-a52d-ddea742226ae,31,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670d514a8529bdd288af97bc,48000.0,16.0,start,2024-10-14 20:13:46.108,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5ca17e6b-9d54-4ec0-a52d-ddea742226ae,40,{'streamType': 'end'},670d514f8529bdd288af97f2,,,end,2024-10-14 20:13:51.613,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,b05d2685-e10c-4ac9-9b3e-a3d150ed29a4,17,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",67089c438529bdd288833c44,48000.0,16.0,start,2024-10-11 06:32:19.175,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9280760a-c925-4f06-aa8d-bc2ac2c88879,18,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",6701c979ce37c37834bc7223,48000.0,16.0,start,2024-10-06 02:19:21.871,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,4fdf9f25-17bf-4df3-9a6a-faa5cb91c491,73,{'streamType': 'end'},66fbd8cc55f202ce26f35e00,,,end,2024-10-01 14:11:08.436,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7e0b89b9-ab7d-4c22-83d7-7c13882d3461,35,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fbd452ce37c3783475a7b5,48000.0,16.0,start,2024-10-01 13:52:02.034,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7e0b89b9-ab7d-4c22-83d7-7c13882d3461,43,{'streamType': 'end'},66fbd46ace37c3783475a889,,,end,2024-10-01 13:52:26.930,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3070591b-fc42-46c4-85bc-c7cff14dd680,23,"{'sampleRate': 44100, 'sampleSize': 16, 'streamType': 'start'}",66fc48ee06ea172c89ccc5c4,44100.0,16.0,start,2024-10-01 22:09:34.132,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3070591b-fc42-46c4-85bc-c7cff14dd680,31,{'streamType': 'end'},66fc48f606ea172c89ccc63e,,,end,2024-10-01 22:09:42.082,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3070591b-fc42-46c4-85bc-c7cff14dd680,39,"{'sampleRate': 44100, 'sampleSize': 16, 'streamType': 'start'}",66fc48ff06ea172c89ccc6dd,44100.0,16.0,start,2024-10-01 22:09:51.070,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3070591b-fc42-46c4-85bc-c7cff14dd680,48,{'streamType': 'end'},66fc490406ea172c89ccc73d,,,end,2024-10-01 22:09:56.671,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3070591b-fc42-46c4-85bc-c7cff14dd680,57,"{'sampleRate': 44100, 'sampleSize': 16, 'streamType': 'start'}",66fc490b06ea172c89ccc7a4,44100.0,16.0,start,2024-10-01 22:10:03.253,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3070591b-fc42-46c4-85bc-c7cff14dd680,65,{'streamType': 'end'},66fc491006ea172c89ccc803,,,end,2024-10-01 22:10:08.970,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9b8683de-d63b-4bba-b5b7-7ec184bcbb13,38,{'streamType': 'end'},66fc27a7f5f972a5bee5ac97,,,end,2024-10-01 19:47:35.024,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6de61f22-4bbe-4f86-9beb-50e9856747fe,54,{'streamType': 'end'},6704251cce37c37834d2ff3d,,,end,2024-10-07 21:14:52.057,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,29,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670435ab681a3e4d7a27f1ae,48000.0,16.0,start,2024-10-07 22:25:31.518,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,36,{'streamType': 'end'},670435b1681a3e4d7a27f1f5,,,end,2024-10-07 22:25:37.399,AUDIO_STREAM
