CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,lastUtteranceSource,reason
ca80f6ea-ec4c-4500-9115-154501786dc5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66ff4e6dce37c37834a21e68,2024-10-04 05:09:49.285,CHAT_CONVERSATION_ENDED,Bot,inactivity
42e76e73-8b26-4032-8e6e-048c81b85887,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,80,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67001c55da6a1c148322487a,2024-10-04 19:48:21.616,CHAT_CONVERSATION_ENDED,Bot,inactivity
2b488532-edf7-4a8d-b093-a51a27c5cb90,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,75,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6700027c55f202ce26208cb8,2024-10-04 17:58:04.711,CHAT_CONVERSATION_ENDED,Bot,inactivity
2896ceaa-2a28-4414-aa3a-ef59827c6ec6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67001b2fce37c37834aa653f,2024-10-04 19:43:27.236,CHAT_CONVERSATION_ENDED,Bot,inactivity
3fc467dc-8974-441a-ad3e-d4cfe89aa404,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,26,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67000886ce37c37834a94b02,2024-10-04 18:23:50.397,CHAT_CONVERSATION_ENDED,Bot,inactivity
e1a86e62-0317-49e0-b995-b946011cc714,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,212,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67006cf555f202ce262618a8,2024-10-05 01:32:21.492,CHAT_CONVERSATION_ENDED,Bot,inactivity
e1a86e62-0317-49e0-b995-b946011cc714,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,213,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67006cf555f202ce262618a7,2024-10-05 01:32:21.492,CHAT_CONVERSATION_ENDED,Bot,inactivity
47db429f-a6dd-43c9-b15f-fd6152d7980a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,79,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670037b3da6a1c148323b1e6,2024-10-04 21:45:07.938,CHAT_CONVERSATION_ENDED,Bot,inactivity
c1147b6f-b843-4aeb-9ce0-4de234a8a96c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,65,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66ffe061ce37c37834a68514,2024-10-04 15:32:33.080,CHAT_CONVERSATION_ENDED,Bot,inactivity
725cee27-68db-48a5-8033-da57760453e2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,74,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670039fefd4c301deb1d4333,2024-10-04 21:54:54.739,CHAT_CONVERSATION_ENDED,Bot,inactivity
116f1dfc-4fb6-4b0e-91ab-eb98524991a1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,90,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fdc7a0ce37c378348efca0,2024-10-03 01:22:24.655,CHAT_CONVERSATION_ENDED,Bot,inactivity
6e587716-cd7a-4705-a525-3817bef83850,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,43,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd6b9bce37c3783489bf62,2024-10-02 18:49:47.850,CHAT_CONVERSATION_ENDED,Bot,inactivity
ec4908bd-d678-4c25-92a7-5835f01110de,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd82864a29b75ae4999663,2024-10-02 20:27:34.430,CHAT_CONVERSATION_ENDED,Bot,inactivity
d281f360-db16-4702-93da-fb663c44996d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,79,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd3631ce37c3783485ef0b,2024-10-02 15:01:53.499,CHAT_CONVERSATION_ENDED,Bot,inactivity
f32d761e-22c0-4401-9477-546f7e4ea84d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,108,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd6bc44a29b75ae498639a,2024-10-02 18:50:28.604,CHAT_CONVERSATION_ENDED,Bot,inactivity
f32d761e-22c0-4401-9477-546f7e4ea84d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,109,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd6bc44a29b75ae498639b,2024-10-02 18:50:28.604,CHAT_CONVERSATION_ENDED,Bot,inactivity
f32d761e-22c0-4401-9477-546f7e4ea84d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,110,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd6bc456f35ba81d9c907b,2024-10-02 18:50:28.604,CHAT_CONVERSATION_ENDED,Bot,inactivity
f32d761e-22c0-4401-9477-546f7e4ea84d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,111,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd6bc456f35ba81d9c907c,2024-10-02 18:50:28.604,CHAT_CONVERSATION_ENDED,Bot,inactivity
e1d1d56c-a04b-4e2e-b4c1-b354c5fc97ad,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,49,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd6a30ce37c3783489a8ed,2024-10-02 18:43:44.263,CHAT_CONVERSATION_ENDED,Bot,inactivity
c6dd4b2c-9fd4-4884-af49-5a5dca0d29c6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,50,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6700169dce37c37834aa24ea,2024-10-04 19:23:57.448,CHAT_CONVERSATION_ENDED,Bot,inactivity
0cded824-9a55-404b-be57-9d95877ed4c2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,37,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67007d6155f202ce2626f5b0,2024-10-05 02:42:25.581,CHAT_CONVERSATION_ENDED,Bot,inactivity
586ce56e-2171-479d-9a23-718e64ea924f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67000ac555f202ce2621257d,2024-10-04 18:33:25.691,CHAT_CONVERSATION_ENDED,Bot,inactivity
5fb8d3c9-2e83-47b8-8e83-197f43011b23,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,144,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67001c88fd4c301deb1bbc08,2024-10-04 19:49:12.162,CHAT_CONVERSATION_ENDED,Bot,inactivity
d979bc4c-cafa-40c9-bca7-9b23a5e46e25,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,76,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66ff4d9755f202ce261a725c,2024-10-04 05:06:15.731,CHAT_CONVERSATION_ENDED,Bot,inactivity
a6e1bf9f-3db5-4da4-a9e1-a711d58de47c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,341,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd862855f202ce260622a1,2024-10-02 20:43:04.582,CHAT_CONVERSATION_ENDED,Bot,inactivity
a6e1bf9f-3db5-4da4-a9e1-a711d58de47c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,342,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd862855f202ce260622a2,2024-10-02 20:43:04.583,CHAT_CONVERSATION_ENDED,Bot,inactivity
d69b0bb7-1c71-44d4-bfe1-29cdaaca87c0,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,37,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",66fd3f6b55f202ce26020d3d,2024-10-02 15:41:15.206,CHAT_CONVERSATION_ENDED,Bot,inactivity
