ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,key,name,nluEngineVersion,requestLatency,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,9162e272-a567-449d-8af5-aa16eb9b2f77,22,"{'name': 'CORONAVIRUS_GENERAL', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 5988}",66fc56e106ea172c89cd7d41,,CORONAVIRUS_GENERAL,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,5988,2024-10-01 23:09:05.694,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6d9a7075-bf21-4496-a413-8c9870346320,20,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 4269}",66fc1540ce37c3783479cbfa,MY_CHART,CANNED_RESPONSE_TRIGGERED,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,4269,2024-10-01 18:29:04.513,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6d9a7075-bf21-4496-a413-8c9870346320,39,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 3722}",66fc1563ce37c3783479ce38,MY_CHART,CANNED_RESPONSE_TRIGGERED,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,3722,2024-10-01 18:29:39.756,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,a8a62a5f-9a20-434c-9d30-b0ae236905de,81,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 1298}",66fc176006ea172c89ca038c,MY_CHART,CANNED_RESPONSE_TRIGGERED,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,1298,2024-10-01 18:38:08.195,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,363bd5f5-ef2b-4616-a329-4c2bb86771a6,19,"{'name': 'EMERGENCY', 'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 2216}",66fc2714ce37c378347add6c,,EMERGENCY,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,2216,2024-10-01 19:45:08.276,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35c6857c-6d9d-4da1-9228-6f6ca92e44fd,52,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 491}",67043df0ce37c37834d4617c,,INFORMATION_SEARCH,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,491,2024-10-07 23:00:48.842,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,bdf16879-0fb7-4b83-93a8-118d05c38aeb,17,"{'key': 'CAREER', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '031d35f82e7967868701ab7a113d640337d5b1ef urmc-f6abf1135b374ee1def31fd3efc6e049', 'requestLatency': 2158}",670326bd55f202ce263dd19d,CAREER,CANNED_RESPONSE_TRIGGERED,031d35f82e7967868701ab7a113d640337d5b1ef urmc-f6abf1135b374ee1def31fd3efc6e049,2158,2024-10-07 03:09:32.995,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,e17c73f4-bf2d-4cd3-a981-8e917b25ad21,17,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 492}",6704040ddd018676c740847b,,INFORMATION_SEARCH,f5a10b14fec038fdf643d891591f0686cac51771 urmc-169973b677a1a13aeec39e84f4b2807a,492,2024-10-07 18:53:49.805,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6d724eee-c3eb-4f1d-848b-8c9a0489d237,55,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 1305}",6704357b681a3e4d7a27eef9,MY_CHART,CANNED_RESPONSE_TRIGGERED,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,1305,2024-10-07 22:24:43.473,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7630923a-15e3-48e9-b0a5-9c933895f927,46,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 2275}",6703df62dd018676c73e6290,,INFORMATION_SEARCH,7d76806dacd9022f43205c499f77a1529744b90b urmc-169973b677a1a13aeec39e84f4b2807a,2275,2024-10-07 16:17:22.053,INTENT
