CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,requestLatency
62b1708a-f5d4-44f0-a8b0-2c1e4a8c13b9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 3322}",6701961cce37c37834ba29dd,2024-10-05 22:40:12.663,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,3322
075efa04-8007-4c35-b564-a8f43cc88746,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,14,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1446}",6706cbbe7673c82f4277a955,2024-10-09 21:30:22.439,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1446
5052fde4-8a9b-41a3-a3f2-deae7a4ae022,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,19,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2763}",67070ab914519701d6f2a6cb,2024-10-10 01:59:05.208,INFEASIBLE,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2763
640193a3-5ec8-478c-9a6d-bd67f263e1a7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,42,"{'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 9488}",670684247673c82f42732bf5,2024-10-09 16:24:52.572,INFEASIBLE,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,9488
1427dd2d-cf82-4a43-8265-e0d6add2e914,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,103,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1242}",6706e9de14519701d6f12540,2024-10-09 23:38:54.607,INFEASIBLE,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1242
1427dd2d-cf82-4a43-8265-e0d6add2e914,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,128,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1360}",6706ea0114519701d6f12732,2024-10-09 23:39:29.872,INFEASIBLE,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1360
b844235e-638a-4727-b975-309e264473cb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 4409}",6706f81814519701d6f1c8be,2024-10-10 00:39:36.620,INFEASIBLE,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,4409
b5d5814c-3ea3-46d2-b850-de535504b73c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2630}",6706db459a99212463d21d96,2024-10-09 22:36:37.317,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2630
b5d5814c-3ea3-46d2-b850-de535504b73c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,42,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1951}",6706db539a99212463d21e72,2024-10-09 22:36:51.489,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1951
f8bf5381-0de7-4242-9759-3bc845a6219e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2301}",6706d7877673c82f4278523d,2024-10-09 22:20:39.432,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2301
f8bf5381-0de7-4242-9759-3bc845a6219e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2286}",6706d7d97673c82f427856e7,2024-10-09 22:22:01.170,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2286
4c74f8cc-a4e6-4151-8e37-37fa9d529d19,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1595}",6706d5737673c82f427832a0,2024-10-09 22:11:47.283,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1595
fddbf806-5c80-44f8-a482-e34c236bc98a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,29,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 2257}",6705f9747673c82f426ef61f,2024-10-09 06:33:08.262,INFEASIBLE,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,2257
a43a7d8d-7d95-4e91-8f48-0a717d79d3ce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2700}",6706d4519a99212463d1b3c7,2024-10-09 22:06:57.406,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2700
a43a7d8d-7d95-4e91-8f48-0a717d79d3ce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1681}",6706d4669a99212463d1b524,2024-10-09 22:07:18.582,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1681
a43a7d8d-7d95-4e91-8f48-0a717d79d3ce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2826}",6706d4c19a99212463d1bb39,2024-10-09 22:08:49.912,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2826
a43a7d8d-7d95-4e91-8f48-0a717d79d3ce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,76,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1327}",6706d4d29a99212463d1bc3e,2024-10-09 22:09:06.121,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1327
a43a7d8d-7d95-4e91-8f48-0a717d79d3ce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,86,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1039}",6706d4d79a99212463d1bc98,2024-10-09 22:09:11.758,INFEASIBLE,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1039
50dcab3d-bbd3-4b03-94f1-39728bf113c9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1826}",6705edf67673c82f426e777f,2024-10-09 05:44:06.803,INFEASIBLE,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,1826
f87f946d-7590-4017-b8b0-adf0cc7cf2c7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1879}",67072e0614519701d6f45b29,2024-10-10 04:29:42.171,INFEASIBLE,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1879
bd6f7f57-f94c-421f-ab85-93a58cd50d5f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,"{'nluEngineVersion': 'e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1', 'requestLatency': 2872}",6707f94e14519701d6fb668a,2024-10-10 18:57:02.901,INFEASIBLE,e1540ef6ef90a451708d44b77b7f914b18c92060 urmc-5acc02dcce4ca96fa36dc5578ebacdc1,2872
d6669a20-f68e-4828-ac29-2da03a55238f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,19,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 3168}",670e9959c6d56ea4415dd922,2024-10-15 19:33:29.342,INFEASIBLE,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,3168
b4c6f194-e3a2-4dbe-85fb-2834481eddb5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,"{'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 2005}",670ea8df14519701d63df26f,2024-10-15 20:39:43.927,INFEASIBLE,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,2005
de909b9f-bc61-460b-aa90-b9c4b4bf3e28,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,"{'nluEngineVersion': '686409c9455ddf31a54123e15d75d36a74e50871 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 1425}",670dcd2a14519701d6355d48,2024-10-15 05:02:18.695,INFEASIBLE,686409c9455ddf31a54123e15d75d36a74e50871 urmc-89d910f65fcc8f771e58593cb7e0ce9d,1425
456cb28d-4516-4c6e-b4ea-059dd6d05a1b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,148,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b', 'requestLatency': 587}",66ffeb1cda6a1c14831f3197,2024-10-04 16:18:20.494,INFEASIBLE,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6d31e9428cd30eafb7aedfca66870d2b,587
