CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,newAudioManager
9280760a-c925-4f06-aa8d-bc2ac2c88879,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,{'newAudioManager': True},6701c979ce37c37834bc7224,2024-10-06 02:19:21.871,AUDIO_MANAGER,True
7e0b89b9-ab7d-4c22-83d7-7c13882d3461,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,{'newAudioManager': True},66fbd452ce37c3783475a7b4,2024-10-01 13:52:02.034,AUDIO_MANAGER,True
3070591b-fc42-46c4-85bc-c7cff14dd680,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,{'newAudioManager': True},66fc48ee06ea172c89ccc5c3,2024-10-01 22:09:34.132,AUDIO_MANAGER,True
3070591b-fc42-46c4-85bc-c7cff14dd680,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,{'newAudioManager': True},66fc48ff06ea172c89ccc6dc,2024-10-01 22:09:51.071,AUDIO_MANAGER,True
3070591b-fc42-46c4-85bc-c7cff14dd680,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,{'newAudioManager': True},66fc490b06ea172c89ccc7a5,2024-10-01 22:10:03.253,AUDIO_MANAGER,True
05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,{'newAudioManager': True},670435ab681a3e4d7a27f1af,2024-10-07 22:25:31.519,AUDIO_MANAGER,True
05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{'newAudioManager': True},670435b2681a3e4d7a27f209,2024-10-07 22:25:38.798,AUDIO_MANAGER,True
20d11499-7f1e-47d6-a470-719fdd90ec8c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,42,{'newAudioManager': True},670452c300ab2c30dead750a,2024-10-08 00:29:39.735,AUDIO_MANAGER,True
20d11499-7f1e-47d6-a470-719fdd90ec8c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,67,{'newAudioManager': True},670452de00ab2c30dead7636,2024-10-08 00:30:06.537,AUDIO_MANAGER,True
20d11499-7f1e-47d6-a470-719fdd90ec8c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,85,{'newAudioManager': True},670452ee00ab2c30dead7727,2024-10-08 00:30:22.491,AUDIO_MANAGER,True
ad584dba-3bef-4ca3-8d37-9c2dc9c9771b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,{'newAudioManager': True},6703ea4600ab2c30dea7d424,2024-10-07 17:03:50.054,AUDIO_MANAGER,True
ad584dba-3bef-4ca3-8d37-9c2dc9c9771b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,62,{'newAudioManager': True},6703ea4c00ab2c30dea7d48a,2024-10-07 17:03:56.136,AUDIO_MANAGER,True
19a97d2c-3c2a-4afa-a7fe-e06728b508b7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,14,{'newAudioManager': True},66fe3fc3ce37c37834945f27,2024-10-03 09:54:59.821,AUDIO_MANAGER,True
8ae64a00-38ba-4c75-9a5c-88ef22db9dbf,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,{'newAudioManager': True},66fde0e3ce37c37834909192,2024-10-03 03:10:11.287,AUDIO_MANAGER,True
2bed66f1-db15-452f-8dd0-9928e8be51ad,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,{'newAudioManager': True},66fd9d9255f202ce26074cf5,2024-10-02 22:22:58.205,AUDIO_MANAGER,True
83894b12-c844-4792-abbb-421b0b7fc14c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'newAudioManager': True},670ea4b5c6d56ea4415e901f,2024-10-15 20:21:57.240,AUDIO_MANAGER,True
3fb90d48-9024-40d2-ba71-b3548ba399ad,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,82,{'newAudioManager': True},670ea4bc4031c12e658c7ba0,2024-10-15 20:22:04.404,AUDIO_MANAGER,True
678fc377-8c48-484d-b13e-ae5f1f44ea64,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20,{'newAudioManager': True},670e8a0df9334728e3fa8efa,2024-10-15 18:28:13.512,AUDIO_MANAGER,True
7bb880b3-ab94-4cc3-9797-1d0c947327f7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,15,{'newAudioManager': True},670eb0f154d7ba2ed0d93bd1,2024-10-15 21:14:09.366,AUDIO_MANAGER,True
7bb880b3-ab94-4cc3-9797-1d0c947327f7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,{'newAudioManager': True},670eb12a54d7ba2ed0d93e69,2024-10-15 21:15:06.931,AUDIO_MANAGER,True
b924321c-b119-4b40-af22-0e679c63bb21,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,{'newAudioManager': True},6704d575ce37c37834daea3c,2024-10-08 09:47:17.626,AUDIO_MANAGER,True
ef67ddf6-8e49-4cca-a3b9-6737f1bbaded,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'newAudioManager': True},67049436ce37c37834d8f0d8,2024-10-08 05:08:54.731,AUDIO_MANAGER,True
dfb23904-7ab0-4568-b7aa-25c268d378c3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,15,{'newAudioManager': True},6705593b7673c82f4266826e,2024-10-08 19:09:31.562,AUDIO_MANAGER,True
dfb23904-7ab0-4568-b7aa-25c268d378c3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,{'newAudioManager': True},670559497673c82f4266833b,2024-10-08 19:09:45.882,AUDIO_MANAGER,True
3ffee3d0-13a4-4bf9-afe0-69b3087a724b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20,{'newAudioManager': True},67015542ce37c37834b6be63,2024-10-05 18:03:30.544,AUDIO_MANAGER,True
f3f67d87-5fec-4397-b533-f3921eb60570,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,{'newAudioManager': True},6706d09f14519701d6efc69d,2024-10-09 21:51:11.919,AUDIO_MANAGER,True
d31a0e9b-1044-400d-92a2-a11720331690,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,14,{'newAudioManager': True},6706dd2ff480fd5383ad81ec,2024-10-09 22:44:47.904,AUDIO_MANAGER,True
228212a6-56b6-4f69-8037-5b21e71124ac,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,135,{'newAudioManager': True},6706ce109a99212463d15510,2024-10-09 21:40:16.675,AUDIO_MANAGER,True
228212a6-56b6-4f69-8037-5b21e71124ac,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,173,{'newAudioManager': True},6706cf3a9a99212463d166b5,2024-10-09 21:45:14.833,AUDIO_MANAGER,True
f87f946d-7590-4017-b8b0-adf0cc7cf2c7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,28,{'newAudioManager': True},67072de914519701d6f45978,2024-10-10 04:29:13.383,AUDIO_MANAGER,True
c2ba2258-d15f-4f2a-acaa-90b993c94696,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,{'newAudioManager': True},670e8c874031c12e658b0ebb,2024-10-15 18:38:47.419,AUDIO_MANAGER,True
dedda172-6887-4c70-bcc3-c3a04bc80627,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,17,{'newAudioManager': True},67001857fd4c301deb1b8373,2024-10-04 19:31:19.091,AUDIO_MANAGER,True
67272b40-499e-4500-a2bd-6fad1ec52b7f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,28,{'newAudioManager': True},66fff67dda6a1c14831fe2c4,2024-10-04 17:06:53.184,AUDIO_MANAGER,True
