CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,provider
637e69ca-97d3-42e4-a64a-7b648122c0fb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'provider': 'DEEPGRAM'},670aacc58529bdd28897322f,2024-10-12 20:07:17.716,STT_PROVIDER,DEEPGRAM
637e69ca-97d3-42e4-a64a-7b648122c0fb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,38,{'provider': 'DEEPGRAM'},670aace98529bdd2889733e1,2024-10-12 20:07:53.746,STT_PROVIDER,DEEPGRAM
920183cd-f9c1-46aa-9f24-96f3e7a96515,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16,{'provider': 'DEEPGRAM'},670ab69214519701d6175409,2024-10-12 20:49:06.892,STT_PROVIDER,DEEPGRAM
8e2ebbe4-af0c-4034-b63f-7e087137ab92,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,{'provider': 'DEEPGRAM'},670c09708529bdd288a249fd,2024-10-13 20:54:56.334,STT_PROVIDER,DEEPGRAM
8e2ebbe4-af0c-4034-b63f-7e087137ab92,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73,{'provider': 'DEEPGRAM'},670c09848529bdd288a24b00,2024-10-13 20:55:16.754,STT_PROVIDER,DEEPGRAM
8e2ebbe4-af0c-4034-b63f-7e087137ab92,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,91,{'provider': 'DEEPGRAM'},670c099a8529bdd288a24c23,2024-10-13 20:55:38.472,STT_PROVIDER,DEEPGRAM
d54ae284-6080-434a-a44d-74ba32c5778b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,{'provider': 'DEEPGRAM'},670aad2514519701d616e3b0,2024-10-12 20:08:53.896,STT_PROVIDER,DEEPGRAM
4d4208bd-2b4c-490d-bedf-6c4ed0e3122d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16,{'provider': 'DEEPGRAM'},6706791c7673c82f42728ce3,2024-10-09 15:37:48.703,STT_PROVIDER,DEEPGRAM
faa29605-459a-4e77-97c2-66ae8b8b2623,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,246,{'provider': 'DEEPGRAM'},67070e4e14519701d6f2cb6e,2024-10-10 02:14:22.367,STT_PROVIDER,DEEPGRAM
91050dd7-6ee5-4a99-95f8-b35d434ff3e9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'provider': 'DEEPGRAM'},670c2fd98529bdd288a409e4,2024-10-13 23:38:49.211,STT_PROVIDER,DEEPGRAM
