ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,nluEngineVersion,reason,requestLatency,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ef67ddf6-8e49-4cca-a3b9-6737f1bbaded,37,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 599}",67049462ce37c37834d8f374,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,,599,2024-10-08 05:09:38.740,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ca366ad4-40f4-4880-b2ee-3622a286b3c0,53,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 8003}",67057e090f278e6ab1167291,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,8003,2024-10-08 21:46:33.571,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,97feb0ff-ca2e-4c33-a437-916e34cd29a0,53,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1722}",6705764a7673c82f426840d6,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1722,2024-10-08 21:13:30.282,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,97feb0ff-ca2e-4c33-a437-916e34cd29a0,60,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1392}",670576517673c82f42684169,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1392,2024-10-08 21:13:37.935,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,97feb0ff-ca2e-4c33-a437-916e34cd29a0,67,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1140}",670576587673c82f426841e6,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1140,2024-10-08 21:13:44.176,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2d844385-0ef2-4b6e-9283-83bacf5560e8,15,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 791}",67057fdb7673c82f4268d30f,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,791,2024-10-08 21:54:19.936,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,75ce3d57-0464-401c-972b-e041d6deec29,26,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 7631}",670583d87673c82f42690d49,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,7631,2024-10-08 22:11:20.928,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,df54a16c-1e53-4eb5-95b7-5944dfc6a272,37,"{'nluEngineVersion': 'd19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a', 'requestLatency': 1530}",6704aa63ce37c37834d9ed8d,d19ace2641a995554c48700cbecb9ca30b97477f urmc-169973b677a1a13aeec39e84f4b2807a,,1530,2024-10-08 06:43:31.627,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2c770d6a-61cd-4db2-b478-2d86c2f1d6c8,43,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1153}",67053b494f3c05168c75bcc8,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1153,2024-10-08 17:01:45.450,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2c770d6a-61cd-4db2-b478-2d86c2f1d6c8,55,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1679}",67053b884f3c05168c75c0fd,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1679,2024-10-08 17:02:48.077,MISUNDERSTANDING
