CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,requestLatency,to
974358d4-8741-4d5d-9d4d-ff387cf95fe6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,64,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 738, 'to': 'awsConnect'}",66fc546455f202ce26fa9948,2024-10-01 22:58:28.256,HANDOFF,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,738,awsConnect
9c2611e2-7da9-4699-b8a9-756b50ce6f48,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,77,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 775, 'to': 'awsConnect'}",66fc523fce37c378347d6bad,2024-10-01 22:49:19.406,HANDOFF,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,775,awsConnect
e2edac63-0b5e-47aa-ba2b-00175cea5171,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71,"{'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b', 'requestLatency': 639, 'to': 'awsConnect'}",66fc236355f202ce26f7f098,2024-10-01 19:29:23.391,HANDOFF,994728dac64a817fed0f861790cb68161d62463e urmc-5045c59462abcdbf1dd96474e081c41b,639,awsConnect
0d7ccf85-ee2a-4b6c-ba8f-20f2de4ec192,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,85,"{'nluEngineVersion': '994728dac64a817fed0f861790cb68161d62463e urmc-9e92385eca986a968c0ca3e707e0274a', 'requestLatency': 891, 'to': 'awsConnect'}",66fbfe6655f202ce26f59532,2024-10-01 16:51:34.369,HANDOFF,994728dac64a817fed0f861790cb68161d62463e urmc-9e92385eca986a968c0ca3e707e0274a,891,awsConnect
e3b2ae20-dc1e-40b1-b49f-bf5836299103,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 777, 'to': 'awsConnect'}",670564e34f3c05168c78852c,2024-10-08 19:59:15.013,HANDOFF,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,777,awsConnect
a633bccd-020d-49e0-a9e1-ecae9edbc636,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73,"{'nluEngineVersion': '8307155cd3fb198077acd99ef4a2e834c23ed71f urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 755, 'to': 'awsConnect'}",670d5e0814519701d62fbc22,2024-10-14 21:08:08.426,HANDOFF,8307155cd3fb198077acd99ef4a2e834c23ed71f urmc-89d910f65fcc8f771e58593cb7e0ce9d,755,awsConnect
297cd602-750c-4e14-a3f1-9e58e4465c00,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,74,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 921, 'to': 'awsConnect'}",670d3b17881e9aad8ce2f907,2024-10-14 18:39:03.087,HANDOFF,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,921,awsConnect
f85f1edc-5df4-4f13-9e50-d7cb04fdf082,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 658, 'to': 'awsConnect'}",670d2693881e9aad8ce1b080,2024-10-14 17:11:31.621,HANDOFF,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,658,awsConnect
c79a9c43-a606-4edb-841f-6c7a953c1199,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,75,"{'nluEngineVersion': 'bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d', 'requestLatency': 951, 'to': 'awsConnect'}",670d46ec881e9aad8ce39963,2024-10-14 19:29:32.040,HANDOFF,bf0fa48f613fdf0b2793c9372faf42e8bb3aa883 urmc-89d910f65fcc8f771e58593cb7e0ce9d,951,awsConnect
1666d847-1a6e-4063-b306-159352386344,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,76,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f', 'requestLatency': 697, 'to': 'awsConnect'}",66fc4f5ff5f972a5bee7d8a2,2024-10-01 22:37:03.034,HANDOFF,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-f8af18fcbc10a021a6068c79edd3e93f,697,awsConnect
2976cc9b-7d9a-4736-bc0a-ec49866965b7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,72,"{'nluEngineVersion': '2e1507ce847342e9c6b49a2a855bd4def47b8a06 urmc-9e92385eca986a968c0ca3e707e0274a', 'requestLatency': 794, 'to': 'awsConnect'}",66fbea23ce37c3783476c80d,2024-10-01 15:25:07.758,HANDOFF,2e1507ce847342e9c6b49a2a855bd4def47b8a06 urmc-9e92385eca986a968c0ca3e707e0274a,794,awsConnect
