CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,feedbackId,nluEngineVersion,requestLatency,resultsType
9dea61ff-6ad7-4e72-8b37-99e9b7bbe2d2,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,"{'feedbackId': '9dea61ff-6ad7-4e72-8b37-99e9b7bbe2d2', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 1955, 'resultsType': 'CATALOG_SEARCH'}",6700a46a55f202ce2628f1e5,2024-10-05 05:28:58.187,FEEDBACK,9dea61ff-6ad7-4e72-8b37-99e9b7bbe2d2,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,1955,CATALOG_SEARCH
ebb40686-988d-429b-8fda-020c2f9243c6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,"{'feedbackId': 'ebb40686-988d-429b-8fda-020c2f9243c6', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1290, 'resultsType': 'CATALOG_SEARCH'}",670b02708529bdd2889ad1cc,2024-10-13 02:12:48.330,FEEDBACK,ebb40686-988d-429b-8fda-020c2f9243c6,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1290,CATALOG_SEARCH
76b5cc30-fcbd-4a6a-acf8-91afcb0d15ba,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,28,"{'feedbackId': '76b5cc30-fcbd-4a6a-acf8-91afcb0d15ba', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1856, 'resultsType': 'CATALOG_SEARCH'}",670aaf0e8529bdd288974ca8,2024-10-12 20:17:02.943,FEEDBACK,76b5cc30-fcbd-4a6a-acf8-91afcb0d15ba,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1856,CATALOG_SEARCH
e7a2695b-370a-44f2-b1d9-be3c7347dfd6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54,"{'feedbackId': 'e7a2695b-370a-44f2-b1d9-be3c7347dfd6', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1063, 'resultsType': 'CATALOG_SEARCH'}",670aca6a8529bdd288988e8a,2024-10-12 22:13:46.581,FEEDBACK,e7a2695b-370a-44f2-b1d9-be3c7347dfd6,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1063,CATALOG_SEARCH
d8c4a840-bbed-4f88-bb35-91cf62c82d29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,"{'feedbackId': 'd8c4a840-bbed-4f88-bb35-91cf62c82d29', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 926, 'resultsType': 'CATALOG_SEARCH'}",670a995714519701d615e8f2,2024-10-12 18:44:23.655,FEEDBACK,d8c4a840-bbed-4f88-bb35-91cf62c82d29,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,926,CATALOG_SEARCH
0c00fc46-a0de-4e48-9a2a-5177b1f8e35d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,23,"{'feedbackId': '0c00fc46-a0de-4e48-9a2a-5177b1f8e35d', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1136, 'resultsType': 'CATALOG_SEARCH'}",670a7d568529bdd28894d762,2024-10-12 16:44:54.012,FEEDBACK,0c00fc46-a0de-4e48-9a2a-5177b1f8e35d,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1136,CATALOG_SEARCH
a81dd100-cab6-4ef9-9146-08e313c5c023,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,"{'feedbackId': 'a81dd100-cab6-4ef9-9146-08e313c5c023', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 2185, 'resultsType': 'CATALOG_SEARCH'}",6709bd1314519701d60f7f20,2024-10-12 03:04:35.536,FEEDBACK,a81dd100-cab6-4ef9-9146-08e313c5c023,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,2185,CATALOG_SEARCH
7e44e31a-97b6-4cb6-9e98-8a820999c7a7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,26,"{'feedbackId': '7e44e31a-97b6-4cb6-9e98-8a820999c7a7', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 3083, 'resultsType': 'CATALOG_SEARCH'}",670aa97114519701d616b931,2024-10-12 19:53:05.235,FEEDBACK,7e44e31a-97b6-4cb6-9e98-8a820999c7a7,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,3083,CATALOG_SEARCH
a301ae56-8ed3-4a52-8476-e78bc6314526,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54,"{'feedbackId': 'a301ae56-8ed3-4a52-8476-e78bc6314526', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 497, 'resultsType': 'CATALOG_SEARCH'}",670ab2858529bdd28897798c,2024-10-12 20:31:49.855,FEEDBACK,a301ae56-8ed3-4a52-8476-e78bc6314526,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,497,CATALOG_SEARCH
fc824e5c-75f6-4c68-8790-c33c5e2e15c3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,"{'feedbackId': 'fc824e5c-75f6-4c68-8790-c33c5e2e15c3', 'nluEngineVersion': '5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b', 'requestLatency': 284, 'resultsType': 'CATALOG_SEARCH'}",670bccb18529bdd2889fa435,2024-10-13 16:35:45.900,FEEDBACK,fc824e5c-75f6-4c68-8790-c33c5e2e15c3,5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b,284,CATALOG_SEARCH
a43b5432-a7e6-47fb-86d7-541bd29b6297,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,"{'feedbackId': 'a43b5432-a7e6-47fb-86d7-541bd29b6297', 'nluEngineVersion': '5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b', 'requestLatency': 3109, 'resultsType': 'CATALOG_SEARCH'}",670bd53a14519701d61f7f97,2024-10-13 17:12:10.279,FEEDBACK,a43b5432-a7e6-47fb-86d7-541bd29b6297,5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b,3109,CATALOG_SEARCH
92f48c03-0269-4c9f-b7ba-7661c51f6d17,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,70,"{'feedbackId': '92f48c03-0269-4c9f-b7ba-7661c51f6d17', 'nluEngineVersion': '5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b', 'requestLatency': 660, 'resultsType': 'CATALOG_SEARCH'}",670c2ad814519701d6234c59,2024-10-13 23:17:28.519,FEEDBACK,92f48c03-0269-4c9f-b7ba-7661c51f6d17,5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b,660,CATALOG_SEARCH
740ba041-bd84-4c6f-a4a9-5f8566e993ac,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,23,"{'feedbackId': '740ba041-bd84-4c6f-a4a9-5f8566e993ac', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1696, 'resultsType': 'CATALOG_SEARCH'}",670adcc38529bdd288995937,2024-10-12 23:32:03.029,FEEDBACK,740ba041-bd84-4c6f-a4a9-5f8566e993ac,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1696,CATALOG_SEARCH
067d1d06-e7e4-4e77-a994-a13386c9ff0c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,130,"{'feedbackId': '067d1d06-e7e4-4e77-a994-a13386c9ff0c', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1291, 'resultsType': 'CATALOG_SEARCH'}",670a8c7614519701d6154036,2024-10-12 17:49:26.964,FEEDBACK,067d1d06-e7e4-4e77-a994-a13386c9ff0c,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1291,CATALOG_SEARCH
37e6594f-1930-4d43-b0fd-56b8d4685ab6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'feedbackId': '37e6594f-1930-4d43-b0fd-56b8d4685ab6', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 1470, 'resultsType': 'CATALOG_SEARCH'}",6709efaf14519701d6119847,2024-10-12 06:40:31.807,FEEDBACK,37e6594f-1930-4d43-b0fd-56b8d4685ab6,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,1470,CATALOG_SEARCH
e0642ba5-5843-4f04-ba5b-f497846f421c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,25,"{'feedbackId': 'e0642ba5-5843-4f04-ba5b-f497846f421c', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 2891, 'resultsType': 'SITE_SEARCH'}",670ac6108529bdd288985d12,2024-10-12 21:55:12.212,FEEDBACK,e0642ba5-5843-4f04-ba5b-f497846f421c,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,2891,SITE_SEARCH
f6904aba-8ddc-43f1-9378-6cff4e6a9868,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,116,"{'feedbackId': 'f6904aba-8ddc-43f1-9378-6cff4e6a9868', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 544, 'resultsType': 'CATALOG_SEARCH'}",670a57188529bdd288939c0d,2024-10-12 14:01:44.359,FEEDBACK,f6904aba-8ddc-43f1-9378-6cff4e6a9868,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,544,CATALOG_SEARCH
513f72f2-4345-4757-bc9b-c5c0650845af,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,"{'feedbackId': '513f72f2-4345-4757-bc9b-c5c0650845af', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 2668, 'resultsType': 'CATALOG_SEARCH'}",670ae8668529bdd28899d392,2024-10-13 00:21:42.772,FEEDBACK,513f72f2-4345-4757-bc9b-c5c0650845af,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,2668,CATALOG_SEARCH
966a4bd1-f35b-4711-8fc4-bdaaa659fccd,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,"{'feedbackId': '966a4bd1-f35b-4711-8fc4-bdaaa659fccd', 'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'requestLatency': 2232, 'resultsType': 'SITE_SEARCH'}",670ac7158529bdd28898691c,2024-10-12 21:59:33.111,FEEDBACK,966a4bd1-f35b-4711-8fc4-bdaaa659fccd,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,2232,SITE_SEARCH
7b948d71-b125-4e03-9f4b-eea8a45e95d6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,38,"{'feedbackId': '7b948d71-b125-4e03-9f4b-eea8a45e95d6', 'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 602, 'resultsType': 'CATALOG_SEARCH'}",6706e33d14519701d6f0ce41,2024-10-09 23:10:37.362,FEEDBACK,7b948d71-b125-4e03-9f4b-eea8a45e95d6,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,602,CATALOG_SEARCH
5d0c9f7d-f96e-45ad-a0e7-06975ff5965a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,26,"{'feedbackId': '5d0c9f7d-f96e-45ad-a0e7-06975ff5965a', 'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1449, 'resultsType': 'CATALOG_SEARCH'}",6706ddc814519701d6f0845f,2024-10-09 22:47:20.067,FEEDBACK,5d0c9f7d-f96e-45ad-a0e7-06975ff5965a,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1449,CATALOG_SEARCH
7cdfb076-b0d3-43e7-89ef-1313104f1bdb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,"{'feedbackId': '7cdfb076-b0d3-43e7-89ef-1313104f1bdb', 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2390, 'resultsType': 'CATALOG_SEARCH'}",67067d127673c82f4272c537,2024-10-09 15:54:42.807,FEEDBACK,7cdfb076-b0d3-43e7-89ef-1313104f1bdb,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,2390,CATALOG_SEARCH
297169dd-41cc-4cd8-9357-7de3b429df7a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,36,"{'feedbackId': '297169dd-41cc-4cd8-9357-7de3b429df7a', 'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1334, 'resultsType': 'CATALOG_SEARCH'}",6706a9609a99212463cf0d0d,2024-10-09 19:03:44.410,FEEDBACK,297169dd-41cc-4cd8-9357-7de3b429df7a,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,1334,CATALOG_SEARCH
