CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent
62e79c6c-00d8-499b-8305-5565847399ba,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,{},67010471ce37c37834b3ff4c,2024-10-05 12:18:41.512,MAP_CLICK
e7a2695b-370a-44f2-b1d9-be3c7347dfd6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,60,{},670acabd8529bdd288989220,2024-10-12 22:15:09.688,MAP_CLICK
12a6c3f1-938c-4987-a12b-bf764eec9b40,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,125,{},67003800ce37c37834abf0b7,2024-10-04 21:46:24.201,MAP_CLICK
3ee66306-ca7f-4d7d-8620-5742a5bc4974,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,186,{},66fd4acbce37c37834874282,2024-10-02 16:29:47.686,MAP_CLICK
bc1f5f52-602d-43f7-bedf-c5b055b747e0,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73,{},6700096a55f202ce262111e3,2024-10-04 18:27:38.906,MAP_CLICK
86cd86ce-e0af-4964-ab3a-d4249c0e468c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,197,{},66fdc34bce37c378348ec29f,2024-10-03 01:03:55.823,MAP_CLICK
d74a3da0-97ad-41af-812c-2f1330ce6712,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,221,{},670c05028529bdd288a214d0,2024-10-13 20:36:02.878,MAP_CLICK
06975d0e-f365-4662-8cb2-7dfe5192de09,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,199,{},6707bfc314519701d6f7d1c0,2024-10-10 14:51:31.865,MAP_CLICK
8dbbeab2-67dd-429f-b4ee-b94e3679b2c7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,{},6707c0a67673c82f427ff825,2024-10-10 14:55:18.781,MAP_CLICK
4cb930b8-08c7-419e-87e3-d361fe0f7a16,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,{},67074ec414519701d6f5a75c,2024-10-10 06:49:24.816,MAP_CLICK
78d028c7-7dc3-4ef3-a937-b1b7dfc4b905,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,{},66feb5c7ce37c37834993173,2024-10-03 18:18:31.719,MAP_CLICK
516c9cd1-be4e-459c-a776-9bde82c208c4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,58,{},66fe99e99aed72ff5248324f,2024-10-03 16:19:37.423,MAP_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,403,{},66feeb679aed72ff524d04b5,2024-10-03 22:07:19.948,MAP_CLICK
05af4cf1-ae60-4432-8a53-f025b49cf934,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,{},66feb92055f202ce261255ba,2024-10-03 18:32:48.543,MAP_CLICK
21193d55-40f9-4ac1-990b-af3100379edf,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,{},66fedab17886d98a5f3e8bfd,2024-10-03 20:56:01.500,MAP_CLICK
44066bff-fd8b-4c13-8cfa-5df4fe601506,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,62,{},66ffb5b8ce37c37834a4e160,2024-10-04 12:30:32.915,MAP_CLICK
80ada250-ac52-4726-814a-1c4eb3ec239a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,79,{},670d5d9e14519701d62fb512,2024-10-14 21:06:22.243,MAP_CLICK
80ada250-ac52-4726-814a-1c4eb3ec239a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,155,{},670d5e518790e7f88c288803,2024-10-14 21:09:21.621,MAP_CLICK
d9350681-aeb0-4d41-9b75-22c9b75a0d9c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,{},670d1f3c8790e7f88c24e0bf,2024-10-14 16:40:12.191,MAP_CLICK
b0fbd872-0ab8-4f15-932c-f4bf26ef0f0b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,{},670d61a58790e7f88c28bfc7,2024-10-14 21:23:33.266,MAP_CLICK
71649e30-3267-4962-b005-2a2d5ff9920d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,89,{},6706dadf9a99212463d217ae,2024-10-09 22:34:55.461,MAP_CLICK
9a67852d-0312-4324-82b2-64d862c67c34,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,124,{},66fc8d8106ea172c89cfb8bc,2024-10-02 03:02:09.086,MAP_CLICK
da2f8e75-d277-4c2e-bd0b-8cb8c01d1d43,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,101,{},66fc50f7ce37c378347d55c1,2024-10-01 22:43:51.186,MAP_CLICK
1335bba4-ff87-4e76-b9f7-a93be34cd688,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{},66fc3a4955f202ce26f93428,2024-10-01 21:07:05.093,MAP_CLICK
1335bba4-ff87-4e76-b9f7-a93be34cd688,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,62,{},66fc3b22f5f972a5bee6c11f,2024-10-01 21:10:42.302,MAP_CLICK
13b4d675-d579-4b78-b91f-79ac9827e04f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,{},670e48fe14519701d6387967,2024-10-15 13:50:38.281,MAP_CLICK
13b4d675-d579-4b78-b91f-79ac9827e04f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,75,{},670e4a2a14519701d63881ff,2024-10-15 13:55:38.794,MAP_CLICK
9d3aacda-ab41-4d45-9196-24050d3a4f01,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},670126dcce37c37834b4abf8,2024-10-05 14:45:32.146,MAP_CLICK
9bf14426-7734-463f-9422-2cb601b127f8,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,86,{},670d98578529bdd288b3ac2b,2024-10-15 01:16:55.934,MAP_CLICK
30bf8bdd-c9ed-48e1-858b-f76231f56d5f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,38,{},670d690a14519701d63071e8,2024-10-14 21:55:06.374,MAP_CLICK
30bf8bdd-c9ed-48e1-858b-f76231f56d5f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,{},670d691f14519701d6307338,2024-10-14 21:55:27.949,MAP_CLICK
f6520296-e64c-447d-92e2-5c9c14f6a793,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,{},6709287a26d0feb902ccdca6,2024-10-11 16:30:34.724,MAP_CLICK
fb6197b6-9920-473a-a720-a27624ad772d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{},670982a38529bdd2888ca968,2024-10-11 22:55:15.137,MAP_CLICK
fb6197b6-9920-473a-a720-a27624ad772d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,95,{},6709834726d0feb902d263c4,2024-10-11 22:57:59.176,MAP_CLICK
fb6197b6-9920-473a-a720-a27624ad772d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,133,{},670983e28529bdd2888cbc0c,2024-10-11 23:00:34.769,MAP_CLICK
fb6197b6-9920-473a-a720-a27624ad772d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,374,{},6709864426d0feb902d291be,2024-10-11 23:10:44.036,MAP_CLICK
fb6197b6-9920-473a-a720-a27624ad772d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,377,{},6709865726d0feb902d292ef,2024-10-11 23:11:03.141,MAP_CLICK
d81b2135-2b53-49ba-a500-f6af5624f0bb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,44,{},66fd6e18ce37c3783489e613,2024-10-02 19:00:24.287,MAP_CLICK
eb90d5ad-66da-40a4-88de-728f85ab96f1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,117,{},670577654f3c05168c79a2ed,2024-10-08 21:18:13.475,MAP_CLICK
eb90d5ad-66da-40a4-88de-728f85ab96f1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,120,{},6705777c4f3c05168c79a451,2024-10-08 21:18:36.187,MAP_CLICK
82fa1a1f-cfa9-474e-bf65-b8fb23c021a5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71,{},670d22c6881e9aad8ce17788,2024-10-14 16:55:18.181,MAP_CLICK
4dd0e283-9147-4a48-8cef-cbd5016cf1e9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,37,{},670d7a828790e7f88c2a3f98,2024-10-14 23:09:38.180,MAP_CLICK
5f05c12e-8f1a-43ec-b6bb-4b3cccd637e1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},66fc203106ea172c89ca8954,2024-10-01 19:15:45.652,MAP_CLICK
35e7325c-e8a4-4182-835c-f250feb00df1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,178,{},66fc82e055f202ce26fc9558,2024-10-02 02:16:48.280,MAP_CLICK
35e7325c-e8a4-4182-835c-f250feb00df1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,234,{},66fc83cbce37c37834801063,2024-10-02 02:20:43.382,MAP_CLICK
5ea72320-8cbe-43c2-9b9e-16246705e28b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,{},6704243a681a3e4d7a27026e,2024-10-07 21:11:06.879,MAP_CLICK
79d4a296-8466-47f6-9e31-2b833bce2bbb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,89,{},670357bdce37c37834cb1efa,2024-10-07 06:38:37.541,MAP_CLICK
0ff75233-2189-46f7-82f6-2fe1e8c985b8,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,86,{},6703d1f1ce37c37834ce3914,2024-10-07 15:20:01.386,MAP_CLICK
a76f0b7b-6b59-413e-a47f-b419085691b3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,{},67037606ce37c37834cbf173,2024-10-07 08:47:50.430,MAP_CLICK
fecd3f62-8886-4111-a3ec-a4aa0b75ebdd,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,43,{},670418a1ce37c37834d24e3a,2024-10-07 20:21:37.257,MAP_CLICK
90ce588b-cf0c-4544-8d77-28f419ec0efc,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,65,{},67036261ce37c37834cb711c,2024-10-07 07:24:01.407,MAP_CLICK
6f9a5051-80ad-4088-afc4-b9f27978e72c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,84,{},6703312ace37c37834c94190,2024-10-07 03:54:02.679,MAP_CLICK
758ccf80-dfce-41ad-a138-f51e5434be80,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{},67043388dd018676c7431097,2024-10-07 22:16:24.590,MAP_CLICK
927ff26c-f1f3-4ca9-9d8f-0864206f1d02,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},670400d055f202ce26458155,2024-10-07 18:40:00.574,MAP_CLICK
068dd935-b30a-4166-b875-8a529dc95eb7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,37,{},66fd49cdce37c37834872eee,2024-10-02 16:25:33.325,MAP_CLICK
4fb65bb6-b3fb-43cf-888e-7de5cc3fc349,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,{},66fdf903ce37c37834920b4b,2024-10-03 04:53:07.640,MAP_CLICK
0aa1066a-56c1-407c-9256-6b0be522d7a9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,99,{},66fe88bdce37c37834961f1f,2024-10-03 15:06:21.330,MAP_CLICK
0aa1066a-56c1-407c-9256-6b0be522d7a9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,128,{},66fe890bce37c378349623bb,2024-10-03 15:07:39.806,MAP_CLICK
2404e376-b146-484b-a4f6-2ccc264e54cd,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{},66fd95324a29b75ae49a8d95,2024-10-02 21:47:14.225,MAP_CLICK
6fe4d70e-dbfb-4611-b33d-6c933867292b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,84,{},670d2f6f8529bdd288adb1be,2024-10-14 17:49:19.138,MAP_CLICK
6fe4d70e-dbfb-4611-b33d-6c933867292b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,112,{},670d2fb98529bdd288adb6c1,2024-10-14 17:50:33.860,MAP_CLICK
6fe4d70e-dbfb-4611-b33d-6c933867292b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,181,{},670d334f8790e7f88c2627de,2024-10-14 18:05:51.838,MAP_CLICK
d9ed1ca3-0483-4db9-9786-85e27df61eaa,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,{},670d8512881e9aad8ce73d86,2024-10-14 23:54:42.049,MAP_CLICK
6657cfe2-80cc-46f5-b2b7-cfb40a961562,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,62,{},670e930ed0e5bccd6ce41ef5,2024-10-15 19:06:38.727,MAP_CLICK
1de914a0-c52b-4d07-8095-8f592a6ee07c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,{},670ea5aaf9334728e3fc3095,2024-10-15 20:26:02.100,MAP_CLICK
a595568a-de8c-473e-a38f-4166213acb37,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,{},670deda114519701d636ba99,2024-10-15 07:20:49.542,MAP_CLICK
cb639006-fbbf-43e5-9954-4603cd9b17c8,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,{},670e8ecc4031c12e658b2d6d,2024-10-15 18:48:28.932,MAP_CLICK
8a0cda1f-5b2f-4ca5-80b6-b6af3f19b1c3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,{},67054ce814519701d6ddab32,2024-10-08 18:16:56.157,MAP_CLICK
be1c96ef-e6fd-4d90-a98c-a5a509ebe570,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,121,{},6705c67e7673c82f426c62ce,2024-10-09 02:55:42.346,MAP_CLICK
608d497e-d579-490d-9950-196e0bf994e9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,50,{},6705324c4f3c05168c751f62,2024-10-08 16:23:24.381,MAP_CLICK
8a550aa7-451d-4a4f-ae42-887c35f5c9d5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,{},670697977673c82f427485da,2024-10-09 17:47:51.062,MAP_CLICK
d8325339-65db-479d-9212-516427823137,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,87,{},6701c86bce37c37834bc68a2,2024-10-06 02:14:51.246,MAP_CLICK
4ab5bfae-ce4f-46ca-a621-fbff9a930917,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,{},6701a040ce37c37834ba9d35,2024-10-05 23:23:28.906,MAP_CLICK
103b99e1-291a-4c7d-bbef-29d86d24a2ed,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,70,{},6706c3f49a99212463d0b210,2024-10-09 20:57:08.574,MAP_CLICK
103b99e1-291a-4c7d-bbef-29d86d24a2ed,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,107,{},6706c43d7673c82f4277354a,2024-10-09 20:58:21.481,MAP_CLICK
2569aaaa-f799-461c-bd0e-64ee31d79b21,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,{},670626e814519701d6e82465,2024-10-09 09:47:04.827,MAP_CLICK
4ce37506-e034-4625-9a6b-4ead500e756e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,59,{},67066cf914519701d6e9b13d,2024-10-09 14:46:01.100,MAP_CLICK
