CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent
da843cad-a132-413a-b8a1-a0051431d5ad,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,{},670a281a8529bdd28892ec30,2024-10-12 10:41:14.261,LIST_VIEW_CLICK
e7a2695b-370a-44f2-b1d9-be3c7347dfd6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,{},670aca7e8529bdd288988f99,2024-10-12 22:14:06.208,LIST_VIEW_CLICK
c25677c6-2544-4256-963d-529ea814b550,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,44,{},670c30118529bdd288a40ca9,2024-10-13 23:39:45.804,LIST_VIEW_CLICK
c25677c6-2544-4256-963d-529ea814b550,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,69,{},670c307114519701d6238bae,2024-10-13 23:41:21.228,LIST_VIEW_CLICK
92f48c03-0269-4c9f-b7ba-7661c51f6d17,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,98,{},670c2b4314519701d62350b8,2024-10-13 23:19:15.691,LIST_VIEW_CLICK
608c7bc6-cf93-4449-9910-a92d739de64b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},670a801514519701d614b38a,2024-10-12 16:56:37.410,LIST_VIEW_CLICK
f6904aba-8ddc-43f1-9378-6cff4e6a9868,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,119,{},670a572c14519701d61362b3,2024-10-12 14:02:04.082,LIST_VIEW_CLICK
10fa9054-c1ab-4543-8cee-06178afcc3ce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},6709c6df8529bdd288900ed9,2024-10-12 03:46:23.534,LIST_VIEW_CLICK
297169dd-41cc-4cd8-9357-7de3b429df7a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,25,{},6706a9329a99212463cf0a48,2024-10-09 19:02:58.986,LIST_VIEW_CLICK
45fee2a7-c269-49b6-9feb-ad8ee0ae8d6e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,86,{},6705dc1514519701d6e55596,2024-10-09 04:27:49.977,LIST_VIEW_CLICK
d7a8dbee-717f-4822-b5ed-a4cfecbf47ac,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,{},670684cb7673c82f427336ab,2024-10-09 16:27:39.123,LIST_VIEW_CLICK
2115ccad-04f9-4fc4-a423-e800c5369043,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,44,{},6706ef39f480fd5383ae7ca2,2024-10-10 00:01:45.224,LIST_VIEW_CLICK
ac096ff6-8779-4755-9c87-279554c8c001,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,45,{},66fd90334a29b75ae49a51b7,2024-10-02 21:25:55.951,LIST_VIEW_CLICK
5bebe54f-3b1a-4d29-8b1e-a9e3302a09b0,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,115,{},66fdba54ce37c378348e401b,2024-10-03 00:25:40.392,LIST_VIEW_CLICK
018fca22-1115-4e34-bea5-c8e4c7b7b7c7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,{},67081a8a8529bdd2887cfd0a,2024-10-10 21:18:50.819,LIST_VIEW_CLICK
018fca22-1115-4e34-bea5-c8e4c7b7b7c7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,65,{},67081acf14519701d6fd3b48,2024-10-10 21:19:59.890,LIST_VIEW_CLICK
018fca22-1115-4e34-bea5-c8e4c7b7b7c7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,68,{},67081af114519701d6fd3d2d,2024-10-10 21:20:33.886,LIST_VIEW_CLICK
ca97f3de-ae72-454b-94a3-4b3200d852d5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},670bb9b98529bdd2889f139f,2024-10-13 15:14:49.175,LIST_VIEW_CLICK
037466fd-8beb-4934-80dd-8bf715428b4b,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,183,{},67072fdc14519701d6f472a1,2024-10-10 04:37:32.613,LIST_VIEW_CLICK
06975d0e-f365-4662-8cb2-7dfe5192de09,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,196,{},6707bf7214519701d6f7ce36,2024-10-10 14:50:10.203,LIST_VIEW_CLICK
6c551be9-7f76-49ea-bb0a-476cc1d90e1a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,79,{},670806cd14519701d6fc2529,2024-10-10 19:54:37.371,LIST_VIEW_CLICK
ebaee1a2-a7fa-4f4f-92a3-19305ba6a690,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,{},6708384186501aa6ad223a1d,2024-10-10 23:25:37.864,LIST_VIEW_CLICK
75faecad-eda7-4c50-943f-d4c5032dd671,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,{},6708549a8529bdd288801e2f,2024-10-11 01:26:34.904,LIST_VIEW_CLICK
4f142e78-1d15-4cce-9567-64a9f91be71f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,146,{},670850a08529bdd2887ff095,2024-10-11 01:09:36.827,LIST_VIEW_CLICK
802555f1-3c83-4884-a8be-5f9df56becce,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,23,{},670265c755f202ce2636328e,2024-10-06 13:26:15.019,LIST_VIEW_CLICK
b4480b9d-13b0-4882-b627-d3e0691ce627,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,{},6702d401ce37c37834c49973,2024-10-06 21:16:33.019,LIST_VIEW_CLICK
78d028c7-7dc3-4ef3-a937-b1b7dfc4b905,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,37,{},66feb5b355f202ce26121eae,2024-10-03 18:18:11.041,LIST_VIEW_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,170,{},66fee6b0ce37c378349c2e57,2024-10-03 21:47:12.803,LIST_VIEW_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,259,{},66feea2155f202ce261528a1,2024-10-03 22:01:53.009,LIST_VIEW_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,284,{},66feea57ce37c378349c6544,2024-10-03 22:02:47.487,LIST_VIEW_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,309,{},66feea7355f202ce26152d0f,2024-10-03 22:03:15.129,LIST_VIEW_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,334,{},66feea8f55f202ce26152ed1,2024-10-03 22:03:43.165,LIST_VIEW_CLICK
93dd4316-3517-42f5-b4c4-7cc17d2d30ab,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,367,{},66feeaee55f202ce26153477,2024-10-03 22:05:18.212,LIST_VIEW_CLICK
05af4cf1-ae60-4432-8a53-f025b49cf934,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,50,{},66feb91455f202ce261254fb,2024-10-03 18:32:36.793,LIST_VIEW_CLICK
a883824b-ea16-40c9-afcc-df5c321b8238,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,124,{},66ffd196ce37c37834a5b43b,2024-10-04 14:29:26.423,LIST_VIEW_CLICK
80ada250-ac52-4726-814a-1c4eb3ec239a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,54,{},670d5d868790e7f88c287afb,2024-10-14 21:05:58.850,LIST_VIEW_CLICK
bda3e1bb-86c2-4dc8-8bfd-df594d0e6d47,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,{},670d25578790e7f88c2543e7,2024-10-14 17:06:15.761,LIST_VIEW_CLICK
